EventDate,Region,Type,Subtype,Subsubtype
30-Jun-12,Northern America,Storm,Convective storm,Tornado
1-Jul-29,Western Europe,Storm,Convective storm,Hail
13-Jun-30,Southern Europe,Storm,Convective storm,Hail
1-Nov-50,Northern America,Storm,Convective storm,Tornado
4-Jan-51,Eastern Africa,Storm,Convective storm,Tornado
1-Jul-53,Western Europe,Storm,Convective storm,Severe storm
16-Feb-59,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Feb-62,Western Europe,Storm,Convective storm,Severe storm
17-Jun-66,Western Europe,Storm,Convective storm,Tornado
4-Mar-66,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-Apr-66,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
25-Jun-67,Western Europe,Storm,Convective storm,Tornado
25-Jun-67,Western Europe,Storm,Convective storm,Tornado
10-Jul-68,Western Europe,Storm,Convective storm,Tornado
4-Mar-71,Northern America,Storm,Convective storm,Winter storm/Blizzard
4-May-71,Northern America,Mass movement (dry),Landslide,Mudslide
2-Apr-72,Southern Asia,Storm,Convective storm,Tornado
1-Jan-73,South America,Storm,Convective storm,Tornado
28-Apr-75,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
10-Jan-76,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
2-Nov-76,Australia and New Zealand,Storm,Convective storm,Tornado
10-Apr-76,Southern Asia,Storm,Convective storm,Tornado
9-May-76,Southern Asia,Storm,Convective storm,Tornado
1-Jan-77,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
6-Oct-77,Southern Asia,Storm,Convective storm,Tornado
17-Mar-78,Southern Asia,Storm,Convective storm,Tornado
16-Apr-78,Southern Asia,Storm,Convective storm,Tornado
16-Apr-78,Southern Asia,Storm,Convective storm,Tornado
1-Jan-03,Northern America,Storm,Convective storm,Tornado
1-Mar-13,Northern America,Storm,Convective storm,Tornado
20-Apr-20,Northern America,Storm,Convective storm,Tornado
10-Jul-23,Russian Federation,Storm,Convective storm,Hail
17-Mar-25,Northern America,Storm,Convective storm,Tornado
1-Sep-27,Northern America,Storm,Convective storm,Tornado
6-Jul-28,Eastern Europe,Storm,Convective storm,Tornado
1-May-28,Eastern Europe,Storm,Convective storm,Hail
21-Mar-32,Northern America,Storm,Convective storm,Tornado
5-Apr-36,Northern America,Storm,Convective storm,Tornado
10-Mar-39,Southern Asia,Storm,Convective storm,Hail
1-Jun-53,Northern America,Storm,Convective storm,Tornado
1-Jan-63,Northern America,Storm,Convective storm,Tornado
13-Sep-64,Central America,Storm,Convective storm,Tornado
8-May-64,Western Asia,Storm,Convective storm,Hail
5-Jul-65,Southern Europe,Storm,Convective storm,Tornado
11-Apr-65,Northern America,Storm,Convective storm,Tornado
15-Mar-66,Western Africa,Storm,Convective storm,Tornado
8-Jun-66,Northern America,Storm,Convective storm,Tornado
11-May-70,Northern America,Storm,Convective storm,Tornado
10-Feb-72,Southern Asia,Storm,Convective storm,Winter storm/Blizzard
4-Feb-72,Western Asia,Storm,Convective storm,Winter storm/Blizzard
2-Apr-74,Northern America,Storm,Convective storm,Tornado
22-Oct-77,Eastern Africa,Storm,Convective storm,Hail
25-Jun-78,Southern Europe,Storm,Convective storm,Tornado
5-Feb-78,Northern America,Storm,Convective storm,Winter storm/Blizzard
1-Nov-79,Australia and New Zealand,Storm,Convective storm,Hail
6-May-79,Northern Africa,Storm,Convective storm,Sand/Dust storm
25-Jun-80,South America,Storm,Convective storm,Tornado
24-Dec-80,Northern Europe,Storm,Convective storm,Severe storm
7-Aug-80,Eastern Asia,Storm,Convective storm,Lightning/Thunderstorms
28-Jul-81,Northern America,Storm,Convective storm,Hail
1-Nov-81,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
19-Jul-81,Western Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-81,Southern Asia,Storm,Convective storm,Tornado
10-Nov-81,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
15-Apr-81,Eastern Asia,Storm,Convective storm,Hail
19-Jul-81,Eastern Europe,Storm,Convective storm,Winter storm/Blizzard
19-Mar-81,Eastern Asia,Storm,Convective storm,Hail
15-Nov-82,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
15-Dec-82,Australia and New Zealand,Storm,Convective storm,Lightning/Thunderstorms
20-Sep-82,Western Europe,Storm,Convective storm,Tornado
