name,total_population,total_households,average_household_income,average_house_age,total_rooms,total_bedrooms,median_house_value,longitude,latitude,ocean_proximity
Alameda County,1713.0,644.0,150520.19,23.5,5300.0,723.0,1633100.0,-122.2344,37.8681,<1H OCEAN
Alameda County,1322.0,630.0,167222.22,16.7,4535.0,688.0,1126800.0,-122.2222,37.8587,NEAR BAY
Alameda County,940.0,417.0,171948.44,43.0,2800.0,429.0,1646200.0,-122.248,37.8503,<1H OCEAN
Alameda County,1043.0,413.0,150914.04,38.6,2277.0,427.0,1418800.0,-122.2517,37.8457,NEAR BAY
Alameda County,1206.0,423.0,167677.3,36.9,2583.0,463.0,1447400.0,-122.248,37.845,<1H OCEAN
Alameda County,1318.0,775.0,122429.03,30.2,2711.0,832.0,1100600.0,-122.2557,37.8379,NEAR BAY
Alameda County,1076.0,590.0,79110.17,33.7,2591.0,693.0,1253000.0,-122.2606,37.8402,NEAR BAY
Alameda County,1458.0,631.0,143221.08,42.4,3545.0,686.0,968100.0,-122.2545,37.8403,NEAR BAY
Alameda County,1544.0,706.0,124128.9,40.8,3830.0,754.0,1383300.0,-122.255,37.8506,<1H OCEAN
Alameda County,885.0,443.0,118707.67,38.6,2389.0,515.0,933700.0,-122.2593,37.8443,<1H OCEAN
Alameda County,1750.0,591.0,149141.29,37.4,3084.0,615.0,1247200.0,-122.2587,37.8507,<1H OCEAN
Alameda County,2678.0,1171.0,105399.23,39.7,6155.0,1268.0,995500.0,-122.2633,37.8497,<1H OCEAN
Alameda County,748.0,241.0,134035.27,40.1,1334.0,241.0,906300.0,-122.268,37.8466,NEAR BAY
Alameda County,595.0,231.0,106590.91,36.4,1404.0,258.0,1013900.0,-122.2678,37.8497,<1H OCEAN
Alameda County,1133.0,434.0,116658.99,41.2,2618.0,487.0,997200.0,-122.2652,37.8433,NEAR BAY
Alameda County,679.0,256.0,145019.53,43.2,1510.0,290.0,889700.0,-122.2652,37.8404,NEAR BAY
Alameda County,1058.0,502.0,99342.63,33.3,2353.0,561.0,756800.0,-122.2744,37.8464,NEAR BAY
Alameda County,1655.0,595.0,94491.6,42.9,3527.0,654.0,751600.0,-122.2735,37.8432,NEAR BAY
Alameda County,1096.0,334.0,90059.88,38.2,1440.0,334.0,754000.0,-122.2733,37.8403,NEAR BAY
Alameda County,1356.0,511.0,112147.75,35.4,2284.0,511.0,926100.0,-122.2738,37.8381,NEAR BAY
Alameda County,1508.0,758.0,81437.99,26.9,3117.0,796.0,751500.0,-122.2839,37.8481,NEAR BAY
Alameda County,1088.0,414.0,97173.91,29.4,2013.0,437.0,665200.0,-122.2836,37.8453,<1H OCEAN
Alameda County,1405.0,578.0,123564.01,42.5,2979.0,584.0,773400.0,-122.2822,37.8429,NEAR BAY
Alameda County,1333.0,601.0,83373.54,39.8,2821.0,637.0,923800.0,-122.2801,37.8403,NEAR BAY
Alameda County,1520.0,493.0,116069.98,41.8,2687.0,579.0,760800.0,-122.2814,37.8384,NEAR BAY
Alameda County,562.0,263.0,87519.01,35.7,1031.0,294.0,1051300.0,-122.271,37.836,NEAR BAY
Alameda County,1611.0,471.0,121788.75,39.1,2611.0,471.0,818300.0,-122.2706,37.8336,<1H OCEAN
Alameda County,1037.0,494.0,111690.28,43.1,2173.0,494.0,791700.0,-122.2726,37.8323,<1H OCEAN
Alameda County,653.0,272.0,89209.56,40.6,1595.0,368.0,-666666666.0,-122.2692,37.83,<1H OCEAN
Alameda County,1253.0,398.0,89158.29,38.0,2085.0,430.0,-666666666.0,-122.2754,37.8271,NEAR BAY
Alameda County,941.0,329.0,134962.01,38.7,2329.0,392.0,687500.0,-122.276,37.83,<1H OCEAN
Alameda County,529.0,349.0,99333.81,18.9,910.0,349.0,937500.0,-122.2614,37.8349,NEAR BAY
Alameda County,1372.0,788.0,100266.5,41.2,2954.0,823.0,1119000.0,-122.2622,37.8298,<1H OCEAN
Alameda County,883.0,366.0,122882.51,35.7,1477.0,366.0,1010300.0,-122.265,37.8257,<1H OCEAN
Alameda County,1485.0,678.0,84764.01,28.0,2381.0,678.0,958300.0,-122.2654,37.8321,<1H OCEAN
Alameda County,1295.0,527.0,125887.1,36.9,2678.0,550.0,968800.0,-122.258,37.8335,<1H OCEAN
Alameda County,581.0,335.0,127037.31,35.4,1558.0,389.0,887300.0,-122.2577,37.8295,<1H OCEAN
Alameda County,778.0,376.0,85704.79,37.9,1393.0,376.0,805600.0,-122.2602,37.8253,<1H OCEAN
Alameda County,1092.0,427.0,88916.86,31.2,1223.0,437.0,762200.0,-122.2667,37.8207,NEAR BAY
Alameda County,1462.0,738.0,65250.68,31.4,1798.0,753.0,-666666666.0,-122.2705,37.8153,NEAR BAY
Alameda County,1276.0,666.0,109617.12,28.7,2065.0,719.0,875000.0,-122.2668,37.8155,NEAR BAY
Alameda County,1588.0,529.0,71129.49,43.1,2578.0,529.0,773100.0,-122.2729,37.8235,<1H OCEAN
Alameda County,2435.0,827.0,84501.21,36.7,4329.0,948.0,665200.0,-122.2746,37.8219,<1H OCEAN
Alameda County,872.0,261.0,79952.11,41.0,1331.0,315.0,-666666666.0,-122.2732,37.8174,NEAR BAY
Alameda County,1090.0,514.0,54143.97,36.1,1499.0,522.0,621300.0,-117.764,34.095,INLAND
Alameda County,925.0,315.0,111007.94,35.7,1744.0,366.0,600600.0,-117.7867,34.097,INLAND
Alameda County,801.0,252.0,99424.6,38.9,1543.0,303.0,520800.0,-117.7861,34.1035,INLAND
Alameda County,1340.0,446.0,88105.38,30.0,2368.0,494.0,641700.0,-122.2817,37.8186,NEAR BAY
Alameda County,883.0,395.0,67639.24,31.0,1601.0,407.0,635400.0,-122.2813,37.8157,NEAR BAY
Alameda County,1225.0,508.0,115324.8,27.1,2301.0,595.0,609900.0,-122.3025,37.8098,NEAR BAY
Alameda County,723.0,327.0,113555.05,28.5,1559.0,386.0,586900.0,-122.2957,37.8158,NEAR BAY
Alameda County,1262.0,406.0,134359.61,30.3,1894.0,406.0,602200.0,-122.3018,37.8208,NEAR BAY
Alameda County,909.0,313.0,98873.8,38.4,1725.0,371.0,635000.0,-122.2973,37.8114,NEAR BAY
Alameda County,821.0,302.0,84685.43,35.8,1379.0,343.0,769200.0,-122.2995,37.8078,NEAR BAY
Alameda County,1240.0,444.0,95123.87,37.1,2479.0,484.0,795200.0,-117.7552,34.0859,INLAND
Alameda County,796.0,263.0,79192.02,32.5,1366.0,285.0,500000.0,-117.7626,34.0759,INLAND
Alameda County,351.0,147.0,125867.35,31.0,887.0,189.0,625000.0,-117.7719,34.082,INLAND
Alameda County,1102.0,452.0,76969.03,31.3,2282.0,525.0,718800.0,-122.282,37.814,NEAR BAY
Alameda County,1299.0,733.0,43113.92,36.4,2831.0,733.0,601200.0,-122.2832,37.8104,NEAR BAY
Alameda County,1249.0,457.0,60924.51,30.2,2188.0,487.0,801100.0,-122.2843,37.8074,NEAR BAY
Alameda County,655.0,272.0,26231.62,25.8,889.0,294.0,-666666666.0,-122.2862,37.8034,NEAR BAY
Alameda County,1255.0,598.0,52257.53,25.3,1841.0,633.0,603100.0,-122.2799,37.8041,NEAR BAY
Alameda County,933.0,323.0,64047.99,39.2,1392.0,391.0,675000.0,-122.2761,37.8097,NEAR BAY
Alameda County,994.0,384.0,127773.44,28.8,2002.0,413.0,798900.0,-122.2785,37.8109,<1H OCEAN
Alameda County,699.0,320.0,137015.62,21.4,813.0,320.0,-666666666.0,-117.7282,34.0574,INLAND
Alameda County,934.0,514.0,35097.28,27.0,1574.0,540.0,-666666666.0,-117.7399,34.056,INLAND
Alameda County,1688.0,851.0,130549.35,10.0,2604.0,873.0,753600.0,-117.7452,34.0534,INLAND
Alameda County,550.0,222.0,19414.41,24.3,405.0,261.0,-666666666.0,-122.2729,37.8069,NEAR BAY
Alameda County,787.0,523.0,51534.42,34.4,1561.0,566.0,-666666666.0,-122.2743,37.8078,NEAR BAY
Alameda County,756.0,493.0,46465.52,31.8,1279.0,630.0,-666666666.0,-122.267,37.807,NEAR BAY
Alameda County,730.0,438.0,56666.67,33.2,1280.0,447.0,-666666666.0,-122.2664,37.804,NEAR BAY
Alameda County,1166.0,629.0,76037.36,23.4,2358.0,738.0,524900.0,-117.7587,34.0372,INLAND
Alameda County,958.0,413.0,36531.48,39.7,1274.0,446.0,-666666666.0,-117.763,34.0396,INLAND
Alameda County,726.0,457.0,53878.56,22.0,1633.0,521.0,417300.0,-117.7636,34.0422,INLAND
Alameda County,948.0,452.0,142079.65,12.8,1787.0,543.0,629000.0,-122.2749,37.8044,<1H OCEAN
Alameda County,1129.0,438.0,90433.79,23.1,1516.0,493.0,614100.0,-122.2774,37.8004,NEAR BAY
Alameda County,701.0,341.0,33804.99,27.0,1634.0,419.0,-666666666.0,-122.2664,37.7997,NEAR BAY
Alameda County,914.0,271.0,41392.99,33.8,1214.0,329.0,-666666666.0,-122.2678,37.7975,NEAR BAY
Alameda County,426.0,223.0,165437.22,9.7,871.0,296.0,805400.0,-122.2692,37.7953,NEAR BAY
Alameda County,1217.0,773.0,94272.32,26.7,2571.0,820.0,471400.0,-122.2658,37.7944,NEAR BAY
Alameda County,746.0,444.0,163783.78,11.7,1790.0,563.0,650700.0,-122.2699,37.7941,NEAR BAY
Alameda County,867.0,699.0,108108.01,31.4,2518.0,699.0,830400.0,-117.866,34.0138,INLAND
Alameda County,1038.0,603.0,89407.13,30.6,1828.0,625.0,-666666666.0,-117.8697,34.0078,INLAND
