name,total_population,total_households,average_household_income,average_house_age,total_rooms,total_bedrooms,median_house_value,longitude,latitude,ocean_proximity
Alameda County,1713,644,150520.19,23.5,5300,723,1633100,-122.2344,37.8681,<1H OCEAN
Alameda County,1322,630,167222.22,16.7,4535,688,1126800,-122.2222,37.8587,NEAR BAY
Alameda County,940,417,171948.44,43,2800,429,1646200,-122.248,37.8503,<1H OCEAN
Alameda County,1043,413,150914.04,38.6,2277,427,1418800,-122.2517,37.8457,NEAR BAY
Alameda County,1206,423,167677.3,36.9,2583,463,1447400,-122.248,37.845,<1H OCEAN
Alameda County,1318,775,122429.03,30.2,2711,832,1100600,-122.2557,37.8379,NEAR BAY
Alameda County,1076,590,79110.17,33.7,2591,693,1253000,-122.2606,37.8402,NEAR BAY
Alameda County,1458,631,143221.08,42.4,3545,686,968100,-122.2545,37.8403,NEAR BAY
Alameda County,1544,706,124128.9,40.8,3830,754,1383300,-122.255,37.8506,<1H OCEAN
Alameda County,885,443,118707.67,38.6,2389,515,933700,-122.2593,37.8443,<1H OCEAN
Alameda County,1750,591,149141.29,37.4,3084,615,1247200,-122.2587,37.8507,<1H OCEAN
Alameda County,2678,1171,105399.23,39.7,6155,1268,995500,-122.2633,37.8497,<1H OCEAN
Alameda County,748,241,134035.27,40.1,1334,241,906300,-122.268,37.8466,NEAR BAY
Alameda County,595,231,106590.91,36.4,1404,258,1013900,-122.2678,37.8497,<1H OCEAN
Alameda County,1133,434,116658.99,41.2,2618,487,997200,-122.2652,37.8433,NEAR BAY
Alameda County,679,256,145019.53,43.2,1510,290,889700,-122.2652,37.8404,NEAR BAY
Alameda County,1058,502,99342.63,33.3,2353,561,756800,-122.2744,37.8464,NEAR BAY
Alameda County,1655,595,94491.6,42.9,3527,654,751600,-122.2735,37.8432,NEAR BAY
Alameda County,1096,334,90059.88,38.2,1440,334,754000,-122.2733,37.8403,NEAR BAY
Alameda County,1356,511,112147.75,35.4,2284,511,926100,-122.2738,37.8381,NEAR BAY
