Country,Count,Mean,Std,Min,Median,Max,Sum
Afghanistan,271,13852789.7416974,34447411.0721907,0,0,192848747,3754106020
Albania,271,34133747.6199262,73774035.0756043,0,0,285502507,9250245605
Algeria,271,353580231.785978,921283916.322664,0,0,4587131635,95820242814
Andorra,271,871115.298892989,2868552.67487533,0,0,15070878,236072246
Angola,271,42182943.8228782,120171576.792964,0,0,682260326,11431577776
Argentina,271,971287337.671587,1957686581.95868,0,0,8431213004,263218868509
Armenia,271,52786610.6383764,103682979.549869,0,440514,383336064,14305171483
Australia,271,2100867556.59779,4242888386.4652,0,28088224,18635749770,569335107838
Austria,271,1134418993.00738,1504762835.82931,0,290921600,5505508535,307427547105
Azerbaijan,271,326696782.169742,656868945.588475,0,2548579,2503755644,88534827968
Bahrain,271,75169996.2804428,179458168.973277,0,0,926303201,20371068992
Bangladesh,271,88193909.195572,256877454.087142,0,0,1562305907,23900549392
Belarus,271,667664257.608856,1328412332.04438,0,5330590,4907842258,180937013812
Belgium,271,2916268028.67528,3755446019.69474,0,909686928,12543142370,790308635771
Belize,271,1552419.73800738,3901452.98147196,0,0,19062872,420705749
Benin,271,5480774.58671587,17271773.6945782,0,0,111665117,1485289913
Bhutan,271,762448.022140221,2682844.04378844,0,0,19193093,206623414
Bolivia,271,37605724.2103321,97692555.0037294,0,0,530154964,10191151261
Bosnia and Herzegovina,271,106524356.457565,224289246.756259,0,4408,954784301,28868100600
Botswana,271,8719052.78228782,26655409.0705282,0,0,150401660,2362863304
Brazil,271,1370426169.93358,3307691732.57979,0,0,16238506431,371385492052
Bulgaria,271,491338103.376384,1036936386.71538,0,32976,3831210012,133152626015
Burkina Faso,271,3432843.68634686,10182833.6251543,0,0,64321172,930300639
Burundi,271,1004056.52767528,2539499.71543952,0,0,13057139,272099319
Cambodia,271,6889229.71217712,21768463.3656127,0,0,158243753,1866981252
Cameroon,271,16857991.7564576,43409803.2510633,0,0,215091700,4568515766
Canada,271,4632883807.45018,8370115729.61852,0,70037360,33576743330,1255511511819
Central African Republic,271,1091481.9704797,2537462.65042297,0,0,10543960,295791614
Chad,271,1795717.97416974,4884255.24936842,0,0,26057722,486639571
Chile,271,302148630.634686,615619541.408813,0,0,2903063180,81882278902
China,271,15361240985.7897,41533626374.9024,0,0,236000000000,4162896307149
Colombia,271,335298258.649446,756535809.271217,0,0,3399102674,90865828094
Comoros,271,345517.653136531,943556.599933809,0,0,5301846,93635284
Costa Rica,271,19470138.6568266,50599384.7996884,0,0,255062078,5276407576
Croatia,271,120794101.575646,259923535.257143,0,4792,1078544258,32735201527
Cuba,271,185767988.247232,408341739.384897,0,0,1614249235,50343124815
Cyprus,271,24599557.900369,62330394.8757035,0,0,293026004,6666480191
Denmark,271,672920874.254613,1140139541.9019,0,41274960,4082633409,182361556923
Djibouti,271,1739371.94464945,4237436.50964872,0,0,18909622,471369797
Ecuador,271,94550318.6273063,239763974.540447,0,0,1197709388,25623136348
Egypt,271,466604433.088561,1200204949.66432,0,0,6314498289,126449801367
El Salvador,271,18850208.0627306,47747964.1177186,0,0,231869645,5108406385
Equatorial Guinea,271,6554333.97416974,26512497.7396378,0,0,179475703,1776224507
Eritrea,271,954057.774907749,3220636.88416201,0,0,17898960,258549657
Estonia,271,233666968.653137,458605990.767085,0,1932561,1630194295,63323748505
Ethiopia,271,15784559.302583,42849857.1425611,0,0,258571415,4277615571
Fiji,271,4706744.08118081,10924020.7172063,0,0,49428747,1275527646
Finland,271,369700841.306273,791858441.352123,0,2465872,3191080737,100188927994
France,271,8259214850.2214,11294894797.8704,0,2195556736,38728680794,2238247224410
Gabon,271,25807819.5682657,62459442.426888,0,0,258407162,6993919103
Gambia,271,1002354.09594096,2661553.89930024,0,0,13966136,271637960
Georgia,271,93408052.7453874,182377477.087005,0,788734,659381464,25313582294
Germany,271,19559154466.8708,27596619039.9509,0,2894442752,92635615097,5300530860522
Ghana,271,27303860.597786,68523831.9618901,0,0,371318619,7399346222
Greece,271,382610441.051661,924903366.600811,0,1637808,4073671400,103687429525
Greenland,271,3663726.87822878,8119838.52757706,0,0,33050491,992869984
Guatemala,271,32852097.4944649,84085148.0216273,0,0,444931134,8902918421
Guinea,271,7101578.67527675,17256643.4706012,0,0,86235079,1924527821
Guyana,271,10813532.8819188,23893936.0892064,0,0,100590486,2930467411
Haiti,271,5772989.12177122,14483879.9798746,0,0,76215378,1564480052
Honduras,271,17947658.3173432,47610190.2685881,0,0,256321315,4863815404
Hungary,271,838748514.571956,1408126829.36084,0,69663632,5010790354,227300847449
Iceland,271,15404522.0811808,34445461.8650503,0,0,151823753,4174625484
India,271,4021961811.63838,9661440264.65998,0,22148947,54416488997,1089951650954
Indonesia,271,1083466242.33948,2631749264.45202,0,0,14399959936,293619351674
Iran,271,1540131560.92251,3620708788.04518,0,0,18914438734,417375653010
Iraq,271,358537467.357934,870606324.756034,0,0,4656535636,97163653654
Ireland,271,274487243.313653,539100950.935908,0,1099200,2224060565,74386042938
Israel,271,197608260.239852,499264509.732065,0,0,2379692524,53551838525
Italy,271,3078315279.19188,6143832841.789,0,84916864,24739056768,834223440661
Japan,271,7568503080.2214,15687099261.1923,0,25332896,65625166916,2051064334740
Jordan,271,47289712.8339483,132645341.53534,0,0,701302305,12815512178
Kazakhstan,271,1675028950.32472,3407880885.23607,0,12727404,13908240442,453932845538
Kenya,271,39900123.5055351,94420208.0628725,0,0,467027394,10812933470
Kiribati,271,179220.808118081,435144.131519576,0,0,2085306,48568839
Kuwait,271,231900637.852399,575762397.421548,0,0,2877515699,62845072858
Kyrgyzstan,271,128924410.892989,248190227.284501,0,1126852,861769602,34938515352
Laos,271,4787558.47232472,18247117.9413881,0,0,178015424,1297428346
Latvia,271,145569842.608856,280289344.401796,0,1277225,950274908,39449427347
Lebanon,271,57574135.4649446,143783319.298146,0,0,733434438,15602590711
Lesotho,271,3453082.01845018,11567077.2681216,0,0,63982252,935785227
Liberia,271,6250094.72324723,13631621.3938907,0,0,52517064,1693775670
Libya,271,179176748.678967,457804348.793653,0,0,2136290401,48556898892
Liechtenstein,271,381807.782287823,1230831.29225189,0,0,6111118,103469909
Lithuania,271,232441863.298893,451358473.721565,0,1992445,1557847258,62991744954
Luxembourg,271,101777806.225092,205536822.705492,0,0,753685965,27581785487
Madagascar,271,8326997.86715867,19497058.6002752,0,0,96770039,2256616422
Malawi,271,5111948.55719557,11336273.4528216,0,0,50701387,1385338059
Malaysia,271,380229607.062731,1067719090.10126,0,0,6071963519,103042223514
Maldives,271,1026251.73800738,3689614.19334272,0,0,24911241,278114221
Mali,271,3561279.39114391,10310515.289296,0,0,63318974,965106715
Malta,271,9580938.75276753,23781065.4094924,0,0,104591398,2596434402
Marshall Islands,271,167972.774907749,587900.85612563,0,0,3416752,45520622
Mauritania,271,5378992.10332103,14317176.0124918,0,0,75632597,1457706860
Mauritius,271,7880896.20664207,21472039.6837997,0,0,115756507,2135722872
Mayotte,271,300418.830258303,1080943.9400173,0,0,6517460,81413503
Mexico,271,2079536543.87085,4449777839.33267,0,0,20075005664,563554403389
Micronesia,271,196972.538745387,671202.174991342,0,0,3713305,53379558
Moldova,271,230289881.221402,438818290.87346,0,2061765,1379218804,62408557811
Mongolia,271,45809168.3321033,122278991.134139,0,0,787436563,12414284618
Montenegro,271,11189639.701107,24071427.8226403,0,435,103621056,3032392359
Morocco,271,128962768.210332,333639629.429781,0,0,1737595218,34948910185
Mozambique,271,19118457.896679,39385001.1513941,0,0,177092206,5181102090
Myanmar,271,57022877.5202952,116975491.542567,0,0,611490849,15453199808
Namibia,271,3452145.98523985,12300226.8251422,0,0,76039286,935531562
Nauru,271,557433.745387454,1311943.57573795,0,0,4858262,151064545
Nepal,271,7254577.97416974,23232536.0453059,0,0,165884135,1965990631
Netherlands,271,1826098286.94096,3063661859.2031,0,206301520,11739971671,494872635761
New Zealand,271,255293638.594096,451828799.416245,0,6195824,1886568514,69184576059
Nicaragua,271,15111136.8118081,36894527.9744333,0,0,177396735,4095118076
Niger,271,3413721.66051661,8925096.1741788,0,0,46523337,925118570
Nigeria,271,324687157.446494,803079516.987219,0,0,3914990643,87990219668
North Korea,271,659756728.789668,1436171772.24493,0,0,5049468225,178794073502
Norway,271,383848333.900369,654345697.909028,0,25669984,2632393609,104022898487
Oman,271,65741018.3874539,206493008.359747,0,0,1251111021,17815815983
Pakistan,271,352447973.280443,946257512.611022,0,0,5162288599,95513400759
Palau,271,1028954.46494465,2454449.52000701,0,0,10562041,278846660
Panama,271,24670163.7638376,60676541.2828747,0,0,309251109,6685614380
Papua New Guinea,271,12122741.6568266,32201292.022907,0,0,169499159,3285262989
Paraguay,271,12226065.5276753,33004427.3204083,0,0,177914443,3313263758
Peru,271,222028975.98893,433560619.891642,0,7328,1941850252,60169852493
Philippines,271,266609961.97417,664596706.549338,0,0,3390273723,72251299695
Poland,271,4839681718.85978,7617201065.81112,0,626613616,27863876203,1311553745811
Portugal,271,293548463.671587,593332355.24056,0,12479584,2614595359,79551633655
Qatar,271,123050195.084871,355124297.653357,0,0,2094572227,33346602868
Romania,271,1215856265.82657,2385562367.25136,0,2257024,8493293608,329497048039
Rwanda,271,2278373.74169742,5847769.08896344,0,0,28684439,617439284
Samoa,271,521154.579335793,1338458.27529207,0,0,6782410,141232891
Sao Tome and Principe,271,254082.73800738,651870.625936757,0,0,3360735,68856422
Saudi Arabia,271,1082606537.53875,2967792111.54841,0,0,15936377001,293386371673
Senegal,271,17669664.3837638,45649047.662817,0,0,243298685,4788479048
Serbia,271,317192251.911439,673003357.526274,0,12803,2734456327,85959100268
Seychelles,271,846900.682656827,2465254.33707723,0,0,13379536,229510085
Sierra Leone,271,4055260.79704797,8666565.18030281,0,0,36096233,1098975676
Singapore,271,188427594.084871,477471655.705108,0,0,2157027728,51063877997
Slovakia,271,718192080.487085,1107393959.35322,0,69993700,3869881084,194630053812
Slovenia,271,95524095.3726937,206184007.698038,0,3652,851099602,25887029846
Solomon Islands,271,784453.029520295,2100518.65477409,0,0,10434984,212586771
Somalia,271,3294044.63099631,7881275.35268341,0,0,32889848,892686095
South Africa,271,2342091004.4797,4817984093.37434,0,58624,21164298479,634706662214
South Sudan,271,2908720.56826568,7247150.02314584,0,0,38352164,788263274
Spain,271,1757945098.01476,3487497758.26077,0,99422640,14853332896,476403121562
Sri Lanka,271,37969784.5645756,93075475.0209434,0,0,500280693,10289811617
Sudan,271,32201687.7158672,80734609.161114,0,0,446154339,8726657371
Suriname,271,11966200.1107011,27306849.5046085,0,0,115203031,3242840230
Sweden,271,883684237.922509,1445777656.77033,0,54205216,4987955651,239478428477
Switzerland,271,472853924.605166,798489683.426646,0,29733360,3022784713,128143413568
Tajikistan,271,73831988.900369,141578646.740964,0,654316,489613510,20008468992
Thailand,271,457124131.546125,1350048369.8446,0,0,7364298189,123880639649
Togo,271,4848780.69741697,12986687.3094311,0,0,66128454,1314019569
Tonga,271,340813.6900369,886249.557004593,0,0,4383586,92360510
Tunisia,271,69535050.2656827,179979112.424245,0,0,901511537,18843998622
Turkey,271,812195897.173432,2063095443.19551,0,4656944,10839787738,220105088134
Turkmenistan,271,241221772.04428,522373593.506783,0,1623296,2434765662,65371100224
Tuvalu,271,16443.2103321033,53977.8934602282,0,0,278925,4456110
Uganda,271,7753123.81549815,18924632.2332938,0,0,105594979,2101096554
Ukraine,271,4477252391.55351,8774174990.61599,0,37200856,30559156342,1213335398111
