jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,total_crime,crime_rate_per_100k,incarceration_rate_per_100k,incarceration_to_crime_ratio
Alabama,False,2001,24741,False,False,4468912.0,19582.0,379.0,1369.0,,5584.0,12250.0,173253.0,40642.0,119992.0,12619.0,192835.0,4315.032383721138,553.6246853820348,0.12830139756786893
Alaska,True,2001,4570,False,False,633630.0,3735.0,39.0,501.0,,514.0,2681.0,23160.0,3847.0,16695.0,2618.0,26895.0,4244.590691728611,721.241102851822,0.16992005949061165
Arizona,False,2001,27710,False,False,5306966.0,28675.0,400.0,1518.0,,8868.0,17889.0,293874.0,54821.0,186850.0,52203.0,322549.0,6077.841840328353,522.1439142440332,0.08590942771485884
Arkansas,False,2001,11489,False,False,2694698.0,12190.0,148.0,892.0,,2181.0,8969.0,99106.0,22196.0,69590.0,7320.0,111296.0,4130.1845327379915,426.3557548934983,0.10322922656699253
California,False,2001,157142,False,False,34600463.0,212867.0,2206.0,9960.0,,64614.0,136087.0,1134189.0,232273.0,697739.0,204177.0,1347056.0,3893.1733370157503,454.1615526936735,0.11665587770664324
Colorado,False,2001,17278,False,False,4430989.0,15492.0,158.0,1930.0,,3555.0,9849.0,170887.0,28533.0,121360.0,20994.0,186379.0,4206.261852602207,389.93552003852864,0.09270357711973988
Connecticut,True,2001,17507,False,False,3434602.0,11492.0,105.0,639.0,,4183.0,6565.0,95299.0,17159.0,65762.0,12378.0,106791.0,3109.268555716208,509.7242708179871,0.16393703589253777
Delaware,True,2001,6841,False,False,796599.0,4868.0,23.0,420.0,,1156.0,3269.0,27399.0,5144.0,19476.0,2779.0,32267.0,4050.595092386508,858.7758709212541,0.2120122726004897
Florida,False,2001,72404,False,False,16373330.0,130713.0,874.0,6641.0,,32867.0,90331.0,782517.0,176052.0,516548.0,89917.0,913230.0,5577.545923767493,442.20693041672035,0.07928342257700688
Georgia,False,2001,45937,False,False,8405677.0,41671.0,598.0,2180.0,,14402.0,24491.0,347872.0,71799.0,238484.0,37589.0,389543.0,4634.284662615515,546.4997049018181,0.11792536382376272
Hawaii,True,2001,5116,False,False,1227024.0,3117.0,32.0,409.0,,1142.0,1534.0,62830.0,11162.0,44925.0,6743.0,65947.0,5374.548501088813,416.9437598612578,0.07757744855717469
Idaho,False,2001,5270,False,False,1320585.0,3211.0,30.0,425.0,,245.0,2511.0,38181.0,7507.0,28285.0,2389.0,41392.0,3134.368480635476,399.06556563947044,0.12731928875144957
Illinois,False,2001,44348,False,True,12520227.0,79270.0,982.0,4010.0,,24931.0,49347.0,434648.0,79158.0,306757.0,48733.0,513918.0,4104.7019355160255,354.21083020299875,0.08629392237672158
Indiana,False,2001,19646,False,False,6126743.0,22734.0,413.0,1716.0,,7171.0,13434.0,211548.0,42758.0,147291.0,21499.0,234282.0,3823.9240653639295,320.6597697993861,0.08385620747646001
Iowa,False,2001,7962,False,False,2931967.0,7865.0,50.0,649.0,,1154.0,6012.0,88634.0,16885.0,66244.0,5505.0,96499.0,3291.271695759195,271.55830880770486,0.08250862703240448
Kansas,False,2001,8574,False,False,2702125.0,10909.0,92.0,945.0,,2423.0,7449.0,105537.0,20514.0,77038.0,7985.0,116446.0,4309.423139196003,317.30582411990565,0.07363069577314808
Kentucky,False,2001,10720,False,True,4068816.0,10510.0,181.0,1051.0,,3269.0,6009.0,107356.0,26964.0,71448.0,8944.0,117866.0,2896.8132252724135,263.4673084258418,0.09095074067161012
Louisiana,False,2001,19660,False,False,4470368.0,30678.0,501.0,1403.0,,7864.0,20910.0,207693.0,46451.0,139555.0,21687.0,238371.0,5332.245577992684,439.78482308391614,0.08247647574579123
Maine,False,2001,1675,False,False,1284470.0,1435.0,19.0,326.0,,264.0,826.0,33154.0,6898.0,24585.0,1671.0,34589.0,2692.8616472163617,130.40397985161195,0.048425800109861514
Maryland,False,2001,23739,False,False,5386079.0,42088.0,446.0,1449.0,,13525.0,26668.0,219512.0,41553.0,145934.0,32025.0,261600.0,4856.965521671702,440.7473414333507,0.0907454128440367
Massachusetts,False,2001,10203,False,False,6401164.0,30585.0,143.0,1856.0,,6476.0,22110.0,167079.0,32430.0,106821.0,27828.0,197664.0,3087.9383812069177,159.39288541896443,0.0516178970373968
Michigan,False,2001,48849,False,False,10006266.0,55424.0,672.0,5264.0,,12937.0,36551.0,352353.0,72038.0,226708.0,53607.0,407777.0,4075.216469360299,488.1841038405335,0.11979341649970449
Minnesota,False,2001,6406,False,False,4984535.0,13145.0,119.0,2236.0,,3758.0,7032.0,165046.0,25496.0,124519.0,15031.0,178191.0,3574.8770948543847,128.51750464185727,0.035950188281114084
Mississippi,False,2001,15131,False,False,2859733.0,10006.0,282.0,1147.0,,3294.0,5283.0,109609.0,29821.0,70315.0,9473.0,119615.0,4182.733143268969,529.105339554427,0.1264975128537391
Missouri,False,2001,28575,False,False,5637309.0,30472.0,372.0,1383.0,,7771.0,20946.0,238411.0,42977.0,167420.0,28014.0,268883.0,4769.704836119503,506.8907877854487,0.10627298862330457
Montana,False,2001,2795,False,False,905382.0,3187.0,34.0,188.0,,230.0,2735.0,30175.0,3670.0,24684.0,1821.0,33362.0,3684.8534651671894,308.7094729075683,0.08377795096217253
Nebraska,False,2001,3915,False,False,1720039.0,5214.0,43.0,431.0,,1128.0,3612.0,68963.0,9760.0,52713.0,6490.0,74177.0,4312.518495220167,227.61111811999612,0.05277916335252167
Nevada,False,2001,9862,False,False,2097722.0,12359.0,180.0,883.0,,4932.0,6364.0,77486.0,17711.0,45073.0,14702.0,89845.0,4282.979346166938,470.1290256764242,0.10976682063553896
New Hampshire,False,2001,2419,False,False,1259359.0,2144.0,17.0,458.0,,445.0,1224.0,27089.0,4889.0,20060.0,2140.0,29233.0,2321.2602601799804,192.08184481152713,0.08274894810659186
New Jersey,False,2001,26052,False,False,8511116.0,33094.0,336.0,1278.0,,14110.0,17370.0,240551.0,46812.0,156031.0,37708.0,273645.0,3215.1482837268345,306.0938189539421,0.09520363975223373
