Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1069205795,ICE-Otay Mesa Detention Center/San Diego,Correctional Facility,California,"San Diego County, CA",0.43,6,0 ,Designated,Non-Rural,02/26/2019,02/26/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ICE-Otay Mesa Detention Center/San Diego,7488 Calzada De La Fuente,San Diego,CA,92154-2717,San Diego,Non-Rural,,,,,
Dental Health,6066395113,ICE-Otay Mesa Detention Center/San Diego,Correctional Facility,California,"San Diego County, CA",0.39,12,NA,Designated,Non-Rural,02/26/2019,02/26/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ICE-Otay Mesa Detention Center/San Diego,7488 Calzada De La Fuente,San Diego,CA,92154-2717,San Diego,Non-Rural,,,,,
Mental Health,7067110990,ICE-Otay Mesa Detention Center/San Diego,Correctional Facility,California,"San Diego County, CA",0.29,12,NA,Designated,Non-Rural,02/26/2019,02/26/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ICE-Otay Mesa Detention Center/San Diego,7488 Calzada De La Fuente,San Diego,CA,92154-2717,San Diego,Non-Rural,,,,,
Primary Care,1064771166,ME-MSSA 78.2v/Carson,Medicaid Eligible Population HPSA,California,"Los Angeles County, CA",14.88,13,1 ,Designated,Non-Rural,05/07/2020,05/07/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,California,Los Angeles,"Census Tract 5433.04, Los Angeles County, California",Census Tract,06037543304,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5433.05, Los Angeles County, California",Census Tract,06037543305,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5433.06, Los Angeles County, California",Census Tract,06037543306,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5433.21, Los Angeles County, California",Census Tract,06037543321,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5433.22, Los Angeles County, California",Census Tract,06037543322,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5434, Los Angeles County, California",Census Tract,06037543400,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5435.01, Los Angeles County, California",Census Tract,06037543501,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5436.01, Los Angeles County, California",Census Tract,06037543601,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5436.04, Los Angeles County, California",Census Tract,06037543604,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5437.01, Los Angeles County, California",Census Tract,06037543701,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5437.02, Los Angeles County, California",Census Tract,06037543702,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5437.03, Los Angeles County, California",Census Tract,06037543703,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5438.01, Los Angeles County, California",Census Tract,06037543801,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5438.02, Los Angeles County, California",Census Tract,06037543802,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5439.03, Los Angeles County, California",Census Tract,06037543903,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5439.05, Los Angeles County, California",Census Tract,06037543905,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5440.01, Los Angeles County, California",Census Tract,06037544001,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5440.02, Los Angeles County, California",Census Tract,06037544002,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5723.01, Los Angeles County, California",Census Tract,06037572301,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5723.02, Los Angeles County, California",Census Tract,06037572302,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5724, Los Angeles County, California",Census Tract,06037572400,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5725, Los Angeles County, California",Census Tract,06037572500,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 5726, Los Angeles County, California",Census Tract,06037572600,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 9800.02, Los Angeles County, California",Census Tract,06037980002,Non-Rural,,,,,,
,California,Los Angeles,"Census Tract 9800.25, Los Angeles County, California",Census Tract,06037980025,Non-Rural,,,,,,
Dental Health,6063688757,ME-MSSA 66A/Bakersfield Northeast/Oilfield,Medicaid Eligible Population HPSA,California,"Kern County, CA",9.437,13,NA,Designated,Partially Rural,05/26/2020,05/26/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,California,Kern,1.01,Census Tract,06029000101,Non-Rural,,,,,,
,California,Kern,1.02,Census Tract,06029000102,Non-Rural,,,,,,
,California,Kern,10,Census Tract,06029001000,Non-Rural,,,,,,
,California,Kern,16,Census Tract,06029001600,Non-Rural,,,,,,
,California,Kern,2,Census Tract,06029000200,Non-Rural,,,,,,
,California,Kern,3,Census Tract,06029000300,Non-Rural,,,,,,
,California,Kern,4,Census Tract,06029000400,Non-Rural,,,,,,
,California,Kern,51.03,Census Tract,06029005103,Partially Rural,,,,,,
,California,Kern,51.04,Census Tract,06029005104,Non-Rural,,,,,,
,California,Kern,6,Census Tract,06029000600,Non-Rural,,,,,,
,California,Kern,7,Census Tract,06029000700,Non-Rural,,,,,,
,California,Kern,8,Census Tract,06029000800,Non-Rural,,,,,,
,California,Kern,9.02,Census Tract,06029000902,Non-Rural,,,,,,
,California,Kern,9.03,Census Tract,06029000903,Non-Rural,,,,,,
,California,Kern,9.04,Census Tract,06029000904,Non-Rural,,,,,,
,California,Kern,9.05,Census Tract,06029000905,Non-Rural,,,,,,
,California,Kern,9.06,Census Tract,06029000906,Non-Rural,,,,,,
,California,Kern,9.07,Census Tract,06029000907,Non-Rural,,,,,,
,California,Kern,9.08,Census Tract,06029000908,Non-Rural,,,,,,
,California,Kern,9.09,Census Tract,06029000909,Non-Rural,,,,,,
,California,Kern,9.10,Census Tract,06029000910,Non-Rural,,,,,,
Primary Care,1062140915,ME-MSSA 180.1/Orcutt/Santa Maria,Medicaid Eligible Population HPSA,California,"Santa Barbara County, CA",5.79,12,5 ,Designated,Partially Rural,07/08/2020,07/08/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,California,Santa Barbara,"Census Tract 20.05, Santa Barbara County, California",Census Tract,06083002005,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.06, Santa Barbara County, California",Census Tract,06083002006,Partially Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.07, Santa Barbara County, California",Census Tract,06083002007,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.08, Santa Barbara County, California",Census Tract,06083002008,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.09, Santa Barbara County, California",Census Tract,06083002009,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.10, Santa Barbara County, California",Census Tract,06083002010,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.11, Santa Barbara County, California",Census Tract,06083002011,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.12, Santa Barbara County, California",Census Tract,06083002012,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 20.13, Santa Barbara County, California",Census Tract,06083002013,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 21.01, Santa Barbara County, California",Census Tract,06083002101,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 21.02, Santa Barbara County, California",Census Tract,06083002102,Non-Rural,,,,,,
,California,Santa Barbara,"Census Tract 21.03, Santa Barbara County, California",Census Tract,06083002103,Non-Rural,,,,,,
