Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1353546407,Western New Mexico Correctional Facility,Correctional Facility,New Mexico,"Cibola County, NM",0.36,15,NA,Designated,Rural,11/22/2019,02/23/2022
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Western New Mexico Correctional Facility,2111 Lobo Canyon Rd,Grants,NM,87020,Cibola,Rural,,,,,
Primary Care,1351029263,CIBOLA FAMILY HEALTH CENTER,Rural Health Clinic,New Mexico,"Cibola County, NM",,20,21,Designated,Rural,04/08/2025,04/08/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,CIBOLA FAMILY HEALTH CENTER,1423 E Roosevelt Ave,Grants,NM,87020-2245,Cibola,Rural,,,,,
Mental Health,7351619935,CIBOLA FAMILY HEALTH CENTER,Rural Health Clinic,New Mexico,"Cibola County, NM",,20,NA,Designated,Rural,04/08/2025,04/08/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,CIBOLA FAMILY HEALTH CENTER,1423 E Roosevelt Ave,Grants,NM,87020-2245,Cibola,Rural,,,,,
Dental Health,6353962481,CIBOLA FAMILY HEALTH CENTER,Rural Health Clinic,New Mexico,"Cibola County, NM",,21,NA,Designated,Rural,04/08/2025,04/08/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,CIBOLA FAMILY HEALTH CENTER,1423 E Roosevelt Ave,Grants,NM,87020-2245,Cibola,Rural,,,,,
Dental Health,6354656562,Western New Mexico Correctional Facility South,Correctional Facility,New Mexico,,0.09,9,NA,Designated,Unknown,09/11/2025,09/11/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Western New Mexico Correctional Facility South,1700 E Old Highway 66,Grants,NM,87020-9758,Not Determined,Unknown,,,,,
Mental Health,7356070440,Penitentiary of New Mexico,Correctional Facility,New Mexico,,0.43,12,NA,Designated,Unknown,09/11/2025,09/11/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Penitentiary of New Mexico,4311 State Highway 14,Santa Fe,NM,87507,Not Determined,Unknown,,,,,
Mental Health,7355274874,Western New Mexico Correctional Facility South,Correctional Facility,New Mexico,,0.55,24,NA,Designated,Unknown,09/11/2025,09/11/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Western New Mexico Correctional Facility South,1700 E Old Highway 66,Grants,NM,87020-9758,Not Determined,Unknown,,,,,
Dental Health,6356929531,LI - Bernalillo County,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",56.36,17,NA,Designated,Partially Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Bernalillo,Bernalillo,Single County,35001,Partially Rural,,,,,,
Primary Care,1352470889,LI - Bernalillo County,Low Income Population HPSA,New Mexico,"Bernalillo County, NM",75.15,18,16,Designated,Partially Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Bernalillo,Bernalillo,Single County,35001,Partially Rural,,,,,,
Dental Health,6355118618,LI - Lea County,Low Income Population HPSA,New Mexico,"Lea County, NM",6.73,17,NA,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Lea,Lea,Single County,35025,Rural,,,,,,
Primary Care,1355099604,LI - Cibola County,Low Income Population HPSA,New Mexico,"Cibola County, NM",3.97,20,20,Designated,Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Cibola,Cibola,Single County,35006,Rural,,,,,,
Primary Care,1355109155,LI - Valencia County,Low Income Population HPSA,New Mexico,"Valencia County, NM",10.09,19,19,Designated,Partially Rural,12/16/2021,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,Valencia,Valencia,Single County,35061,Partially Rural,,,,,,
Dental Health,6352321891,Low Income - De Baca County,Low Income Population HPSA,New Mexico,"De Baca County, NM",0.15,9,NA,Designated,Rural,10/25/2012,09/22/2025
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,New Mexico,De Baca,De Baca,Single County,35011,Rural,,,,,,
Mental Health,7359417731,Border Catchment Area,High Needs Geographic HPSA,New Mexico,"Catron County, NM | Grant County, NM | Hidalgo County, NM | Luna County, NM",2.72,19,NA,Designated,Rural,08/24/1979,09/22/2025
