,,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1255462220,LI-Worcester City,Low Income Population HPSA,Massachusetts,"Worcester County, MA",15.40,15,13,Designated,Non-Rural,07/29/2014,06/16/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Massachusetts,Worcester,"Worcester city, Worcester County, Massachusetts",County Subdivision,2502782000,Non-Rural,,,,,,
Primary Care,1257972223,LI - Salem/Peabody/Lynn/Beverly,Low Income Population HPSA,Massachusetts,"Essex County, MA",14.78,17,8 ,Designated,Non-Rural,10/11/2013,09/02/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Massachusetts,Essex,"Census Tract 2021.02, Essex County, Massachusetts",Census Tract,25009202102,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2041.01, Essex County, Massachusetts",Census Tract,25009204101,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2041.02, Essex County, Massachusetts",Census Tract,25009204102,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2042, Essex County, Massachusetts",Census Tract,25009204200,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2043, Essex County, Massachusetts",Census Tract,25009204300,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2045, Essex County, Massachusetts",Census Tract,25009204500,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2046, Essex County, Massachusetts",Census Tract,25009204600,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2047.01, Essex County, Massachusetts",Census Tract,25009204701,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2047.02, Essex County, Massachusetts",Census Tract,25009204702,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2051, Essex County, Massachusetts",Census Tract,25009205100,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2052, Essex County, Massachusetts",Census Tract,25009205200,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2053, Essex County, Massachusetts",Census Tract,25009205300,Non-Rural,,,,,,
,Massachusetts,Essex,"Census Tract 2055, Essex County, Massachusetts",Census Tract,25009205500,Non-Rural,,,,,,
