State,Lead_Content,Standalone_Galvanized,No_Lead_Content,Unknown_Material,Not_Reported,Total,%_Total_with_lead
Alabama,65356,21766,1316150,304958,190001,1898231,3.40%
Alaska,385,989,38983,25864,47519,113740,0.30%
Arizona,8397,29397,1478065,383831,182041,2081731,0.40%
Arkansas,77347,21884,458700,106771,554555,1219257,6.30%
California,13191,198523,8996785,220196,232775,9661470,0.10%
Colorado,91261,2641,1277161,189167,105074,1665304,5.50%
Connecticut,24025,2901,300914,354723,37573,720136,3.30%
Delaware,17974,8375,132071,56732,87236,302388,5.90%
District of Columbia,23952,714,26295,89039,0,140000,17.10%
Florida,638425,691380,2840070,1337655,1121628,6629158,9.60%
Georgia,177378,49390,2243589,714537,75059,3259953,5.40%
Hawaii,6812,2320,219486,32816,20818,282252,2.40%
Idaho,30910,29127,302770,45025,79803,487635,6.30%
Illinois,702526,28550,1720894,797594,489701,3739265,18.80%
Indiana,173829,3646,1060990,606115,30954,1875534,9.30%
Iowa,70071,8548,715124,230493,88472,1112708,6.30%
Kansas,28596,22970,378795,574679,39530,1044570,2.70%
Kentucky,67602,30370,798127,697651,9703,1603453,4.20%
Louisiana,140762,11295,742830,277371,524749,1697007,8.30%
Maine,11567,9030,173361,47085,30236,271279,4.30%
Maryland,63774,28295,861171,484369,20375,1457984,4.40%
Massachusetts,132627,24740,1108781,525633,28532,1820313,7.30%
Michigan,183756,5617,1822858,558069,115176,2685476,6.80%
Minnesota,87673,2088,251606,1022658,33852,1397877,6.30%
Mississippi,4229,5480,447262,364476,402203,1223650,0.30%
Missouri,127324,13106,1405246,239396,186253,1971325,6.50%
Montana,3791,8896,83645,87057,89499,272888,1.40%
Nebraska,34837,1691,408344,123075,29979,597926,5.80%
Nevada,6340,2269,762671,32423,21386,825089,0.80%
New Hampshire,11290,1825,208451,42527,13590,277683,4.10%
New Jersey,294554,106756,955284,935003,138708,2430305,12.10%
New Mexico,2652,3175,262790,152106,210369,631092,0.40%
New York,299629,8586,1613497,1106599,535727,3564038,8.40%
North Carolina,212226,63379,1877030,903976,99665,3156276,6.70%
North Dakota,12694,588,117767,20106,82749,233904,5.40%
Ohio,435374,14129,1495586,816225,857424,3618738,12.00%
Oklahoma,12409,2925,577386,742693,43421,1378834,0.90%
Oregon,1465,5821,434847,160512,568783,1171428,0.10%
Pennsylvania,261023,22571,1197085,1586412,692224,3759315,6.90%
Puerto Rico,36540,12394,1143328,174788,110564,1477614,2.50%
Rhode Island,16103,131,62569,157895,68299,304997,5.30%
South Carolina,48120,11810,781503,787203,180647,1809283,2.70%
South Dakota,5576,1468,219757,35969,26000,288770,1.90%
Tennessee,79147,21190,522846,1937120,209438,2769741,2.90%
Texas,14562,11936,7589927,1307824,4067195,12991444,0.10%
Utah,7665,9397,337433,161250,371235,886980,0.90%
Vermont,3216,2817,102532,14468,43559,166592,1.90%
Virginia,64521,26730,662953,412119,1021771,2188094,2.90%
Washington,12205,98155,1273883,1119114,48055,2551412,0.50%
West Virginia,7039,3473,216616,414293,23018,664439,1.10%
Wisconsin,266572,12342,901473,186912,155208,1522507,17.50%
Wyoming,7605,2817,98924,41003,27653,178002,4.30%
